epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,118.283,3.72673,6.17457,3.5514,0.09565,0.05086,0.02059,0.00479,3.33816,4.28882,3.18852,0.000664151,0.000664151,0.000664151
2,234.349,2.66966,2.88824,2.39698,0.43974,0.31914,0.30669,0.11129,2.30885,2.18342,1.9979,0.00130886,0.00130886,0.00130886
3,350.129,2.3541,2.08574,1.98348,0.45769,0.36618,0.36083,0.12431,2.20246,2.04221,1.85394,0.00193157,0.00193157,0.00193157
4,474.297,2.18447,1.83371,1.82589,0.5634,0.46281,0.44509,0.17603,2.0718,1.69821,1.73801,0.001901,0.001901,0.001901
5,601.66,2.12298,1.73631,1.77775,0.52586,0.39797,0.41748,0.17185,2.0437,1.92697,1.72769,0.001868,0.001868,0.001868
6,722.76,1.99719,1.61618,1.69303,0.68066,0.4973,0.54869,0.23349,1.93282,1.48198,1.65361,0.001835,0.001835,0.001835
7,840.258,1.96012,1.53321,1.64317,0.69307,0.57978,0.58727,0.24098,1.86883,1.36273,1.58651,0.001802,0.001802,0.001802
8,957.443,1.91104,1.47505,1.62564,0.68913,0.541,0.57292,0.25504,1.84429,1.35389,1.57998,0.001769,0.001769,0.001769
9,1074.77,1.88033,1.41512,1.58269,0.69361,0.57851,0.6145,0.26064,1.83465,1.33101,1.54301,0.001736,0.001736,0.001736
10,1196.12,1.81902,1.38646,1.55391,0.75818,0.58996,0.64587,0.29627,1.77881,1.24309,1.53689,0.001703,0.001703,0.001703
